"","Action_Batman.txt","Action_Fight-Club.txt","Adventure_Avatar.txt","Adventure_Dances-with-Wolves.txt","Comedy_Austin-Powers---The-Spy-Who-Shagged-Me.txt","Comedy_Horrible-Bosses.txt","Crime_American-History-X.txt","Crime_Fargo.txt","Family_Happy-Fee.txt","Family_Shrek.txt","Fantasy_Butterfly-Effect,-The.txt","Fantasy_Star-Wars-The-Force-Awakens.txt","Horror_Scream-2.txt","Horror_Shining,-The.txt","Romance_Midnight-in-Paris.txt","Romance_Twilig.txt","SciFi_Alien.txt","SciFi_Men-in-Black.txt","Thriller_Eagle-Eye.txt","Thriller_Hunt-for-Red-October,-The.txt","War_Inglourious-Basterds.txt","War_Saving-Private-Ryan.txt"
"cheer",1,1,2,3,0,0,1,0,0,0,1,0,3,0,0,0,1,1,1,0,0,0
"chief",1,0,9,6,2,0,2,5,0,0,0,0,0,0,0,5,0,0,0,4,4,2
"child",1,1,2,9,0,2,0,0,0,0,5,3,1,2,0,1,0,0,3,0,0,1
"children",1,3,10,23,0,1,1,3,0,0,6,0,1,0,1,0,0,2,3,1,3,0
"chin",1,3,1,0,0,0,1,3,1,0,1,1,0,4,0,0,0,1,0,1,1,0
"choice",2,0,1,4,2,1,0,0,1,1,3,1,0,0,4,4,0,2,4,1,2,2
"christ",3,3,1,0,1,1,7,2,0,0,8,0,3,0,3,0,7,1,3,6,0,6
"chuckles",2,1,1,1,0,0,0,0,0,7,1,0,0,0,0,1,2,0,0,1,5,0
"cigarette",2,16,4,0,2,0,9,2,0,0,11,0,0,6,0,0,1,7,0,5,16,0
"circle",5,6,17,7,0,0,1,1,2,0,0,3,1,0,0,4,0,2,0,0,9,0
"city",42,13,3,0,2,0,0,2,0,0,3,2,0,0,9,2,1,16,9,0,5,0
"clearly",1,1,0,1,1,6,1,0,0,0,2,5,6,0,2,10,3,1,1,0,2,10
"clears",2,1,0,2,0,0,0,2,0,3,1,0,1,2,0,0,2,4,0,2,0,0
"climb",7,4,5,0,0,1,0,0,1,3,1,5,0,1,0,6,1,2,2,7,3,1
"climbing",2,1,2,1,0,0,0,0,1,0,0,4,0,0,0,2,5,4,1,2,6,1
"closed",3,9,2,6,0,0,1,0,1,0,3,2,3,3,0,2,5,2,1,1,3,0
"closing",1,3,2,1,0,0,0,0,1,0,0,1,0,2,0,2,3,5,1,4,3,0
"clothes",1,11,1,1,2,1,0,1,0,0,12,0,1,0,1,7,2,7,3,3,3,0
