"","Action_Batman.txt","Action_Fight-Club.txt","Adventure_Avatar.txt","Adventure_Dances-with-Wolves.txt","Comedy_Austin-Powers---The-Spy-Who-Shagged-Me.txt","Comedy_Horrible-Bosses.txt","Crime_American-History-X.txt","Crime_Fargo.txt","Family_Happy-Fee.txt","Family_Shrek.txt","Fantasy_Butterfly-Effect,-The.txt","Fantasy_Star-Wars-The-Force-Awakens.txt","Horror_Scream-2.txt","Horror_Shining,-The.txt","Romance_Midnight-in-Paris.txt","Romance_Twilig.txt","SciFi_Alien.txt","SciFi_Men-in-Black.txt","Thriller_Eagle-Eye.txt","Thriller_Hunt-for-Red-October,-The.txt","War_Inglourious-Basterds.txt","War_Saving-Private-Ryan.txt"
"plain",1,0,1,2,0,0,1,1,1,0,1,0,0,0,0,0,3,4,1,0,2,0
"plants",2,1,9,0,1,0,0,2,0,0,0,1,1,0,0,0,1,0,0,1,0,1
"plastic",3,2,0,0,0,9,0,2,8,0,0,0,1,0,0,0,3,2,1,3,0,0
"plates",2,0,1,1,0,0,1,5,0,0,0,1,1,0,1,1,0,2,0,0,0,0
"playing",3,3,3,9,4,3,3,0,0,2,5,0,1,2,3,1,0,0,10,0,13,2
"plays",1,1,2,0,1,1,3,3,0,2,4,0,3,0,2,4,0,0,3,0,3,1
"pleasure",4,1,0,0,6,2,0,1,0,0,0,0,1,3,1,1,1,1,1,0,5,0
"pocket",7,7,1,3,0,5,1,2,0,0,4,0,2,1,0,1,3,13,8,2,9,0
"pockets",2,2,0,1,0,1,0,3,0,0,1,0,2,0,0,0,0,1,0,1,0,3
"pointing",1,7,3,2,3,2,1,0,1,0,0,2,0,0,0,1,7,5,3,0,11,1
"police",17,11,0,0,0,11,3,13,0,0,2,0,26,1,0,12,0,3,13,0,0,0
"pool",4,1,5,2,0,0,1,0,0,0,4,0,0,0,1,1,0,0,1,0,1,2
"poor",3,0,0,4,2,0,1,1,1,0,1,0,3,0,0,1,3,3,0,0,1,2
"pops",2,2,0,3,2,3,1,2,2,0,3,3,3,0,0,3,2,0,6,0,4,1
"possibly",1,0,0,2,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0
"pound",1,0,0,0,1,0,1,1,0,0,0,1,0,2,1,0,1,1,1,0,2,0
"pounding",1,2,2,5,0,0,0,0,0,0,2,1,1,0,0,0,1,3,4,1,0,0
"pounds",1,1,2,0,1,0,0,1,0,0,1,2,2,1,0,0,1,0,2,5,2,3
"pouring",2,2,2,3,1,0,0,0,0,0,1,0,0,1,0,1,2,1,1,2,1,0
"pours",2,4,3,2,2,1,0,0,0,0,3,1,0,0,0,0,0,1,3,3,4,3
"powerful",2,1,2,6,2,0,0,0,1,0,1,3,0,0,1,1,2,0,1,0,0,2
"prepares",1,0,0,2,0,0,1,0,0,0,2,1,0,0,0,0,0,1,1,4,2,2
"present",1,1,0,1,1,2,7,0,0,0,0,0,0,0,19,1,2,1,4,1,3,0
"private",5,0,2,0,7,0,0,1,0,0,0,1,1,0,5,1,0,1,1,1,47,44
"problems",3,0,1,0,0,1,6,3,0,1,2,1,0,1,0,0,0,1,0,0,0,0
"promise",1,8,0,1,0,0,0,0,0,2,5,1,1,2,1,2,0,0,2,1,1,0
"protect",1,1,3,1,0,0,2,1,1,0,1,1,0,0,0,4,0,0,2,0,4,1
"proud",1,1,3,3,1,0,0,1,0,0,3,1,0,0,1,0,0,1,1,0,2,0
"punches",1,16,2,0,1,1,4,5,0,0,2,1,0,0,1,0,7,1,6,1,0,0
"quite",10,2,0,2,4,0,0,2,5,3,0,0,1,6,3,3,4,2,0,1,18,0
"race",7,0,3,4,1,2,7,0,0,0,0,10,3,0,0,3,1,3,7,1,3,4
"races",5,2,0,2,1,0,0,1,2,0,1,11,14,0,0,3,1,8,6,4,0,4
"racing",3,0,0,5,1,3,0,0,1,0,1,4,1,0,0,0,2,2,4,2,0,1
"radio",7,1,1,0,0,0,0,0,0,0,0,2,0,29,0,0,11,2,12,8,12,8
"rage",1,1,3,0,0,1,3,0,0,0,7,1,0,0,0,3,0,2,1,0,0,0
"rain",1,5,6,5,2,0,2,0,0,1,0,2,2,0,11,7,0,1,0,4,1,1
"raise",1,0,5,2,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,3,1,2
"rather",6,1,0,0,1,1,2,1,0,0,2,0,0,1,0,1,3,1,0,0,5,2
"react",1,0,1,3,0,2,1,0,0,0,2,6,1,0,0,0,2,1,2,1,4,4
"reaction",2,1,1,1,0,2,1,2,0,0,1,0,0,1,0,1,1,0,0,0,0,3
"reading",2,6,0,0,4,1,2,0,0,0,12,0,2,3,2,1,1,2,0,17,1,2
"realizes",3,0,5,2,1,1,0,0,1,0,6,5,1,0,1,8,1,0,2,2,1,0
"rear",8,3,1,0,4,1,0,2,0,0,1,3,1,0,0,1,4,5,5,3,1,9
"reason",2,3,1,1,3,3,0,3,1,2,2,0,3,0,0,3,1,0,0,2,5,2
"recognize",2,0,2,1,0,0,0,0,0,1,0,2,1,1,2,0,2,4,0,0,2,0
"recognizes",1,0,2,5,0,0,1,0,1,0,1,1,2,0,0,0,0,1,0,1,0,0
"reels",1,1,3,0,0,0,0,1,0,0,1,0,0,0,0,5,2,1,0,0,5,1
"releases",2,1,4,0,0,0,2,1,0,1,0,0,1,0,0,0,2,0,0,1,1,1
"relief",2,1,1,1,0,1,1,0,0,0,2,1,0,0,0,5,0,0,0,3,1,2
"remains",1,5,2,4,0,0,0,2,1,0,4,2,5,0,0,0,4,4,1,1,3,5
"remote",2,2,2,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,2,0,0,0
"removes",5,0,3,1,0,4,2,0,0,1,0,5,0,1,0,1,1,1,0,0,12,1
"report",3,0,5,4,0,1,4,0,0,0,3,4,0,0,3,0,0,1,1,2,2,2
"responds",1,1,2,0,0,0,0,0,1,0,0,3,1,0,0,0,0,1,1,1,1,2
"return",2,3,1,2,0,0,0,0,0,0,1,2,0,0,2,0,0,0,2,3,0,4
"revealing",4,1,5,0,7,2,1,0,0,0,5,8,2,8,0,1,6,11,7,1,1,0
"reverse",3,1,1,0,1,0,0,2,0,0,0,0,0,3,0,1,1,1,1,0,0,3
"ride",2,0,7,12,2,1,0,0,0,0,0,0,4,0,1,2,0,4,0,5,3,0
"ripped",1,0,1,0,0,1,0,1,0,0,1,1,2,0,0,0,3,1,1,0,0,1
"rips",7,1,5,0,2,0,0,1,0,1,1,6,9,0,0,3,0,3,4,5,2,0
"river",6,3,10,66,1,0,0,0,0,0,0,0,0,2,6,10,0,1,8,3,0,1
"road",9,5,2,0,4,1,0,22,0,4,2,0,6,27,2,11,0,18,8,0,3,31
"roar",2,0,13,1,0,0,0,4,0,1,1,11,0,0,0,0,1,1,2,0,0,2
"roars",4,1,3,1,0,0,0,3,0,6,1,5,0,0,0,1,2,2,5,1,0,1
"rocks",1,4,3,0,0,0,0,0,6,0,0,0,0,1,0,2,1,1,1,3,1,9
"roll",14,2,5,3,2,4,1,0,2,1,6,0,3,0,0,1,1,2,1,0,0,2
"rolling",3,1,8,8,1,1,0,1,1,0,1,3,0,0,0,0,1,1,0,2,0,0
"roof",32,2,2,9,2,0,1,3,0,1,3,0,0,0,0,3,1,7,1,0,5,0
"roughly",3,1,4,1,0,0,0,0,0,0,0,2,0,0,0,0,1,3,0,1,1,1
"round",4,2,2,3,2,0,1,0,9,1,0,3,2,15,0,0,1,1,6,6,0,2
"rounds",1,0,10,1,2,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,1,3
"rushes",2,1,1,3,1,3,3,2,0,0,8,0,3,0,0,7,0,2,1,1,1,0
"sack",1,2,1,3,2,0,1,4,0,1,10,7,0,0,1,0,0,1,0,0,1,0
"safe",5,0,3,1,0,1,1,0,5,1,2,0,7,0,1,7,3,1,5,5,1,0
"safety",2,2,1,2,0,1,0,0,2,1,0,3,3,0,0,1,0,1,2,1,3,1
"sake",3,0,1,0,1,0,0,4,0,0,2,1,0,0,2,1,0,1,0,1,3,0
"save",6,3,3,1,7,1,2,0,0,2,4,3,2,0,0,2,1,0,0,1,1,3
"saved",2,1,1,0,1,2,0,0,0,0,3,1,0,0,0,1,0,1,0,0,1,3
"scans",2,1,5,1,0,0,0,2,0,0,1,2,2,0,0,0,5,0,5,1,0,4
"scared",3,0,3,1,0,1,1,0,0,2,3,5,6,4,1,2,0,0,1,1,0,3
"scrambles",2,3,7,5,0,0,1,0,2,0,0,3,0,0,0,0,1,3,5,0,0,4
"scream",6,2,4,3,0,0,1,0,0,0,1,7,16,0,0,3,2,0,10,0,0,3
"scurries",3,0,1,2,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,2
"searching",1,4,0,1,0,1,0,0,1,0,1,5,4,1,1,2,0,5,1,2,0,2
"seats",2,4,1,1,0,1,1,0,0,0,1,2,6,2,0,0,3,5,0,0,12,0
"seconds",16,7,5,4,1,0,6,0,0,0,2,3,5,0,0,0,10,5,13,8,2,1
"secret",3,1,0,1,3,0,0,0,0,0,1,3,0,0,1,1,0,5,18,3,3,0
"section",1,1,1,1,0,1,0,0,0,1,0,2,4,0,0,0,6,1,1,0,0,1
"security",3,20,5,0,3,4,0,1,0,0,6,2,17,0,0,5,1,4,18,6,4,0
"seem",6,0,9,5,4,2,1,0,0,0,5,0,0,1,3,1,2,4,0,1,6,1
"send",2,2,1,3,3,0,0,3,0,0,2,2,3,0,1,0,1,2,1,2,4,3
"sends",4,2,0,4,1,0,0,0,0,0,1,3,1,0,0,1,0,1,0,1,1,0
"sense",2,1,0,4,1,2,0,1,2,0,0,2,0,1,3,2,3,5,4,0,2,3
"sent",1,0,4,1,0,0,2,1,0,1,3,3,3,0,0,0,0,0,3,1,1,1
"serious",2,2,2,0,0,3,6,0,0,1,0,0,1,3,1,4,1,2,0,0,1,2
"setting",3,3,3,2,0,0,0,0,0,3,1,2,1,0,0,0,1,2,1,1,1,0
"shadow",6,0,20,3,11,1,1,0,1,1,1,1,2,0,0,2,0,0,0,4,1,2
"shadows",2,0,13,7,2,0,0,0,1,2,1,1,1,0,0,3,1,0,1,4,1,4
"shake",4,5,0,3,0,0,1,0,4,0,1,0,1,0,0,0,0,0,0,4,1,2
"shaken",3,0,3,2,0,1,2,0,0,0,2,1,0,0,0,0,0,1,1,1,1,1
"sharp",2,3,7,4,0,0,0,0,2,1,1,1,3,0,2,2,2,5,1,1,0,2
"sharply",1,1,3,0,0,0,0,0,1,0,0,3,0,0,0,2,3,3,1,1,0,0
"shatters",5,2,0,0,1,2,1,0,0,0,0,2,0,0,0,1,0,1,2,2,0,0
"shed",1,1,0,0,0,1,2,3,0,0,0,0,3,0,1,1,0,0,1,1,0,2
"shelf",1,1,1,0,0,0,3,1,13,0,1,0,1,3,0,0,1,4,0,1,1,0
"shifts",3,0,0,1,1,0,0,1,0,0,2,3,2,0,0,1,0,4,3,1,0,3
"shirt",3,8,1,2,1,6,7,0,0,0,8,0,0,0,0,5,0,7,1,1,1,1
"shit",6,11,12,0,3,22,50,4,2,0,20,0,23,0,0,0,4,9,34,1,6,9
"shock",7,1,8,1,0,3,0,0,0,2,6,6,4,0,0,2,4,2,2,2,0,1
"shocked",2,0,1,4,1,1,0,0,0,0,3,2,0,0,0,1,2,1,1,1,4,1
"shoot",3,0,7,5,2,3,2,6,4,0,1,1,2,0,0,0,0,6,3,8,4,8
"shooting",5,0,3,1,1,0,0,2,1,0,1,4,0,13,0,1,0,5,2,5,2,1
"shop",2,2,0,0,1,0,5,2,0,0,0,0,0,0,4,4,0,11,1,1,5,1
"shots",19,0,1,3,1,1,2,2,0,0,0,2,0,1,1,1,0,2,2,0,2,0
"shouldnt",2,1,1,1,1,0,0,2,0,3,1,1,2,0,3,2,1,0,0,2,2,0
"shouting",2,3,7,4,6,0,0,0,3,0,3,0,0,0,0,0,0,3,1,6,0,0
"shouts",2,3,7,4,0,0,1,0,4,0,0,0,0,4,0,0,2,1,2,9,0,0
"shoves",2,5,4,1,1,0,3,0,0,1,3,0,3,0,0,0,0,7,4,0,0,2
"shower",3,1,2,0,0,3,5,5,0,0,3,0,3,0,2,0,0,2,0,0,0,2
"showing",6,3,9,1,2,1,1,2,1,1,1,0,0,3,2,0,6,1,0,0,2,0
"shrugs",3,3,1,0,0,1,1,0,2,0,7,2,1,0,1,5,2,2,2,0,0,4
"sick",3,4,0,3,0,4,7,0,0,0,11,0,0,0,0,1,2,0,0,1,1,0
"sides",1,4,5,2,0,0,0,2,1,0,2,0,0,0,0,0,1,3,0,0,1,3
"sidewalk",11,7,0,0,0,2,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
"sideways",1,0,4,1,0,0,0,1,0,1,1,1,0,1,0,0,0,4,0,1,0,0
"sigh",1,1,1,1,0,0,0,1,0,8,1,0,0,0,0,0,0,0,0,1,1,2
"sighs",2,3,3,1,0,5,6,1,1,5,1,4,0,0,0,3,1,5,1,0,0,7
"sign",10,9,3,16,5,2,0,5,3,0,1,0,1,0,0,3,0,1,9,6,2,2
"signal",5,1,2,1,6,1,0,1,0,0,0,1,0,0,0,0,5,0,3,6,0,1
"silently",5,0,4,4,0,1,1,2,0,0,6,1,0,0,0,0,4,2,0,0,3,4
"simple",2,2,1,3,0,0,1,1,1,0,3,1,1,0,2,0,2,4,1,0,3,4
"sing",2,0,0,0,0,0,0,0,10,4,0,0,2,0,1,0,1,1,1,1,0,1
"singing",6,0,2,5,8,2,0,0,17,8,0,0,0,0,1,1,0,0,1,2,0,0
"sinks",5,0,0,1,0,0,0,0,1,0,3,3,0,2,0,3,0,0,5,1,1,0
"sixty",2,2,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,5,2,2,2
"skin",1,3,7,7,3,4,5,1,2,1,0,0,0,0,1,11,0,9,1,0,2,0
"skull",1,1,7,5,0,0,2,0,0,0,1,0,0,0,0,0,7,2,1,1,1,1
"slaps",1,10,1,4,1,1,2,3,0,0,0,1,0,0,0,0,1,2,0,0,1,0
"sleeping",1,3,3,8,0,0,3,1,0,3,0,0,2,0,0,0,0,0,1,1,0,0
"slide",4,5,2,1,3,0,0,0,1,2,1,0,2,0,1,6,4,3,4,4,0,0
"sliding",1,0,0,0,0,0,1,3,3,1,0,1,3,1,0,1,3,0,0,0,1,0
"slight",1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,3,5
"slip",1,2,0,1,0,0,2,0,0,0,0,0,1,1,0,2,0,1,0,1,0,1
"slips",1,1,3,15,0,4,1,0,1,0,1,0,3,0,0,5,0,5,3,0,1,1
"smaller",1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,2,1
"smart",2,1,0,5,0,0,2,0,0,0,2,0,4,0,1,4,0,2,4,0,0,2
"smashes",1,4,2,0,4,0,1,1,1,3,2,0,0,1,0,4,0,1,2,0,0,3
"smell",2,3,1,1,0,1,0,1,0,2,2,0,0,0,0,3,0,0,0,0,1,1
"smoking",3,9,2,1,5,0,0,1,0,0,3,1,0,0,1,0,4,4,0,0,11,0
"snap",4,4,5,2,5,0,1,1,0,0,0,11,0,0,0,2,0,1,3,1,0,1
"snaps",1,7,3,1,0,2,1,1,1,1,0,1,0,0,0,3,1,8,7,0,4,2
"snatches",4,3,1,4,1,0,0,1,0,0,1,0,0,0,0,0,1,1,2,0,0,1
"snow",2,2,0,2,0,1,0,43,6,4,0,11,0,35,0,0,0,0,0,1,0,0
"soft",1,1,3,3,0,0,0,1,1,1,0,0,2,0,0,0,1,2,0,0,0,2
"softly",2,0,4,3,0,3,5,2,0,1,2,0,0,0,0,1,2,1,1,2,0,5
"solid",1,2,3,2,1,0,2,0,2,1,0,0,1,0,0,0,4,1,0,0,0,0
"somehow",6,2,1,2,0,0,0,0,1,0,2,5,0,0,0,2,3,0,6,0,0,4
"somethings",1,0,1,2,1,0,0,0,1,0,1,0,1,0,0,2,0,1,6,0,0,0
"sort",1,2,1,1,3,3,0,0,1,2,0,1,0,2,0,1,2,10,0,0,2,1
"source",1,0,0,0,1,0,1,2,0,0,0,1,1,0,0,1,6,1,4,0,1,1
"speaking",1,2,0,1,0,2,1,0,3,0,0,0,0,6,2,0,3,0,3,6,8,2
"speed",7,3,2,7,0,1,0,1,0,0,4,0,2,0,0,10,6,4,4,14,0,0
"spin",1,0,2,0,0,2,2,1,0,0,0,1,1,0,0,1,0,1,4,1,1,2
"spinning",3,0,3,0,0,0,1,1,1,0,1,2,3,0,0,1,2,0,2,3,1,0
"spins",3,3,5,0,3,0,1,1,0,0,4,1,12,0,0,8,0,1,5,4,1,3
"split",1,4,0,4,3,2,0,1,3,0,2,0,1,0,0,1,0,1,0,0,0,2
"spots",4,2,1,5,1,4,8,0,0,8,3,0,10,0,0,2,0,4,5,9,0,1
"spreading",4,0,2,3,0,0,0,0,1,0,1,1,0,1,0,0,3,0,1,1,1,2
"sprints",2,4,4,0,0,1,0,0,0,0,1,0,0,0,0,1,1,2,3,0,0,3
"squad",6,0,4,1,0,3,0,3,0,0,0,7,3,0,0,0,0,0,1,0,1,16
"square",5,4,1,3,1,0,1,1,1,0,0,1,0,0,0,1,2,4,0,1,0,3
"staff",3,0,5,1,0,2,0,1,0,0,1,7,0,2,0,0,0,0,4,0,0,5
"staggers",1,2,3,4,0,0,0,1,1,0,0,0,0,5,0,0,3,4,3,0,0,0
"stars",1,1,1,2,2,0,0,0,2,2,0,3,0,1,0,0,4,14,0,0,1,1
"startled",5,2,2,3,0,4,1,1,0,1,6,2,0,0,0,3,2,0,0,1,1,0
"state",1,3,2,1,1,0,2,7,0,0,3,0,2,0,1,2,0,0,14,2,8,2
"station",1,3,2,0,0,3,3,0,3,0,4,3,7,0,0,10,0,2,15,7,0,0
"steel",10,2,6,0,1,0,0,0,1,0,1,1,2,0,0,0,6,4,12,5,0,1
"stick",1,1,8,3,1,0,5,0,3,2,3,2,1,0,0,0,0,1,3,1,2,2
"stomach",2,7,3,0,2,0,3,1,0,2,1,1,5,1,0,0,1,5,4,2,0,0
"stone",7,3,1,35,0,1,2,0,1,3,1,6,5,0,0,0,8,1,0,1,1,4
"stopped",1,0,1,5,0,0,0,3,2,0,3,0,1,0,0,2,3,4,0,2,0,0
"stopping",2,0,2,1,0,2,0,0,0,0,0,1,2,3,1,1,1,0,4,4,0,0
"store",3,6,0,1,0,1,2,0,0,0,0,0,1,13,3,2,0,12,11,0,7,0
"stories",12,3,1,0,0,0,0,0,0,3,1,1,0,0,1,1,0,1,0,1,1,0
"straightens",1,1,0,1,0,0,1,0,0,1,0,1,0,2,0,2,2,3,0,0,0,0
"strange",7,7,4,12,1,0,0,0,9,0,6,0,0,2,1,0,6,6,4,3,1,4
"stream",1,1,8,9,1,0,0,0,0,1,0,3,0,0,0,1,1,1,1,1,0,4
"street",74,32,0,1,11,17,27,4,1,0,13,0,17,0,8,1,0,22,18,0,0,8
"streets",12,3,0,0,2,0,1,0,0,0,0,0,0,2,4,0,0,1,3,0,1,1
"strength",1,2,3,1,0,0,0,0,0,0,3,5,1,1,0,5,2,0,2,2,1,0
"strides",5,1,7,1,0,1,0,3,0,0,0,2,0,0,0,5,0,0,1,0,1,12
"strikes",2,1,2,2,1,0,0,0,3,0,1,1,4,1,0,0,1,1,1,0,1,1
"strong",3,1,8,7,0,1,0,0,0,1,0,3,0,0,0,6,3,0,2,0,1,0
"struggle",1,2,1,0,0,0,1,1,0,0,0,2,0,0,1,0,0,1,1,1,0,2
"struggles",2,2,6,2,1,2,1,1,0,2,6,4,3,1,0,0,0,1,0,4,0,2
"struggling",1,2,1,1,0,1,1,2,2,0,0,1,0,2,0,2,1,2,3,0,0,3
"stuck",2,0,0,0,4,0,0,2,0,0,1,1,0,0,0,1,2,4,2,1,4,0
"studies",1,7,2,2,0,0,1,0,0,0,2,4,0,0,0,4,7,0,2,12,1,1
"study",4,1,1,1,1,4,0,0,2,0,2,0,0,0,3,2,1,0,0,2,2,1
"sudden",7,0,2,6,0,1,0,0,1,0,2,1,0,0,1,0,0,1,2,4,0,0
"suits",2,1,7,0,2,1,1,0,0,0,0,1,1,0,0,0,3,5,2,1,0,0
"support",2,7,0,1,0,0,0,1,1,1,1,3,0,0,0,0,1,0,2,0,0,0
"suppose",1,1,0,1,2,1,0,0,0,0,1,0,0,3,0,0,1,2,1,1,16,0
"surface",3,1,2,4,1,0,0,0,14,0,1,4,1,0,0,0,10,2,2,21,0,0
"sweat",4,7,0,4,1,0,1,0,1,0,0,0,0,0,0,1,4,1,2,2,2,1
"swing",2,4,3,1,3,0,0,0,0,0,3,0,1,0,0,2,1,3,3,0,1,2
"swinging",4,0,1,1,4,0,0,0,0,1,2,0,0,4,0,1,0,3,4,1,1,0
"switch",3,1,6,0,1,1,0,0,0,0,0,4,1,1,0,0,20,1,1,0,4,0
"switches",1,0,2,0,0,1,0,0,0,0,0,9,2,5,0,0,16,1,1,7,0,0
"tables",2,2,0,0,0,2,1,2,0,0,1,0,1,1,0,2,0,0,0,2,4,3
"tail",1,0,9,5,1,6,2,4,1,6,0,1,1,0,0,0,1,4,0,0,2,1
"tall",4,3,5,4,2,0,0,2,7,2,0,4,0,0,0,1,1,6,1,2,3,3
"tank",19,0,3,0,0,1,0,2,0,0,1,3,0,0,0,0,3,4,20,1,1,16
"taste",1,1,1,1,0,0,0,0,1,0,1,1,2,0,1,2,0,1,0,0,1,0
"team",11,0,5,4,1,3,5,0,1,0,0,0,0,1,0,3,2,0,6,0,1,1
"television",6,2,0,0,2,1,4,9,0,0,0,0,4,3,1,0,0,0,1,0,0,0
"telling",3,1,3,0,0,3,1,0,0,0,0,1,0,0,3,1,0,0,6,3,5,0
"tells",1,0,1,1,0,0,0,0,0,0,1,3,0,1,0,3,0,1,0,1,5,0
"terrified",5,0,2,3,2,3,4,0,2,1,3,7,3,0,0,4,0,6,7,0,0,2
"terror",5,1,2,1,0,0,0,0,0,0,1,0,4,0,0,2,2,1,4,0,1,0
"test",1,4,5,0,3,0,0,0,0,0,2,3,1,0,0,1,0,2,6,3,4,0
"thatll",1,0,1,0,0,1,1,0,1,3,0,1,0,1,0,1,2,0,0,0,0,0
"third",5,7,2,3,3,1,1,0,0,0,0,0,3,0,1,0,0,3,2,1,15,4
"thousand",1,1,5,1,0,7,1,10,0,0,0,7,0,0,4,0,0,3,6,13,5,8
"thousands",1,1,1,3,0,2,0,0,5,0,0,2,0,1,0,1,0,2,2,0,0,1
"threatening",1,0,3,0,1,1,0,0,1,0,1,2,0,0,0,1,0,1,0,0,0,1
"throughout",1,0,1,0,0,1,1,1,0,0,2,0,1,2,0,2,3,0,0,1,0,0
"throw",1,2,1,0,2,2,1,1,0,1,0,1,4,0,1,0,3,1,1,0,2,2
"throwing",5,4,1,2,0,0,0,0,1,1,1,0,3,4,0,2,2,0,3,0,3,1
"thrown",2,2,1,0,0,0,0,0,1,0,1,3,0,1,0,1,0,6,3,1,2,3
"tied",2,0,1,3,1,1,0,2,0,0,1,0,2,0,0,0,0,0,0,2,1,0
"tiny",13,6,11,3,2,2,5,0,7,0,1,4,0,0,0,5,8,8,1,1,0,2
"tired",1,0,2,2,1,1,3,0,1,0,3,0,3,2,2,2,0,0,0,0,0,4
"tires",2,1,1,0,0,1,1,0,0,0,1,0,0,0,0,6,0,0,2,1,0,1
"tone",2,0,2,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,5,0,5,1
"tongue",1,3,1,2,1,1,3,0,1,0,0,1,0,2,0,0,0,3,1,0,0,0
"tonight",4,3,1,2,0,2,10,1,0,0,6,0,9,5,7,2,0,2,2,0,18,1
"tosses",5,2,0,6,0,2,2,1,0,2,1,1,0,0,0,1,1,1,3,3,1,1
"total",4,2,2,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0
"totally",5,2,2,0,2,3,2,0,2,0,2,1,0,0,2,2,3,2,2,1,0,0
"touch",3,1,9,4,1,0,0,3,2,0,1,1,0,3,0,4,7,2,4,0,3,2
"tough",3,0,1,2,0,1,2,1,2,0,3,1,1,0,0,0,0,4,3,0,0,3
"town",2,3,0,1,0,0,0,5,1,3,1,4,3,1,4,9,0,9,2,0,2,8
"track",5,0,4,1,4,3,1,10,0,0,0,2,0,2,4,4,0,3,6,4,0,0
"tracks",4,1,4,2,0,0,1,0,2,0,0,1,1,166,0,0,0,0,3,0,0,1
"traffic",4,2,1,0,1,5,0,3,0,1,0,0,0,0,2,0,2,10,14,0,0,1
"trailing",1,0,0,2,0,0,0,0,1,1,0,1,1,0,0,0,3,0,2,3,0,2
"trash",2,3,2,5,0,3,3,0,0,2,2,1,0,0,0,0,0,0,4,1,0,0
"tray",3,2,0,0,1,2,1,3,0,0,3,0,0,7,0,0,3,4,1,4,1,0
"trees",4,1,44,7,0,0,0,2,0,0,1,10,3,5,0,11,0,3,3,3,2,9
"trembling",5,1,2,2,0,1,0,0,0,0,3,0,0,0,0,0,1,1,1,1,3,0
"tried",1,4,1,3,2,2,0,0,1,1,0,1,2,6,0,3,2,2,5,0,2,0
"truck",7,4,1,0,0,0,7,3,0,0,2,0,0,1,0,25,0,24,10,0,19,10
"truly",1,2,1,1,0,0,0,0,1,0,0,2,1,0,2,2,0,0,1,0,4,0
"trust",2,2,10,0,2,8,1,0,1,0,2,2,6,1,3,3,0,0,0,0,5,1
"truth",2,1,5,1,0,0,0,0,1,1,1,6,0,1,0,6,0,0,1,0,1,0
"tumbles",1,1,2,2,2,1,0,0,3,0,0,0,0,0,0,0,3,0,1,2,1,0
"tune",1,1,1,0,1,1,1,0,2,0,0,0,0,0,2,0,0,1,1,0,1,0
"tunnel",4,0,3,0,0,0,0,0,1,2,0,1,0,2,0,0,5,18,12,4,0,1
"twice",3,3,4,2,2,3,0,2,2,0,2,1,0,3,0,0,0,1,1,1,1,0
"twists",3,1,3,2,0,0,0,1,0,0,0,0,3,0,0,0,2,2,1,0,1,0
"type",1,0,0,0,3,0,1,0,1,1,0,0,4,1,1,1,0,0,0,0,5,1
"unable",2,0,1,1,0,0,0,0,2,1,6,2,1,0,0,0,0,0,2,1,0,0
"unconscious",7,1,3,3,1,3,1,0,0,1,3,4,1,0,0,0,3,0,1,0,0,0
"underneath",4,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,8,3,0,10,0
"unfortunately",1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0
"unless",1,1,2,0,2,0,0,0,1,0,1,0,1,2,3,0,1,0,4,2,3,0
"upper",4,1,5,0,1,0,3,0,0,0,2,0,3,1,0,0,1,0,4,0,1,0
"upstairs",1,9,0,0,0,5,0,5,0,0,0,0,4,1,0,4,0,1,1,1,0,0
"useless",1,2,2,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0
"uses",2,5,1,0,3,1,2,1,0,0,3,6,0,0,0,0,2,0,2,0,0,1
"using",3,3,4,3,2,1,0,1,0,0,1,6,1,0,0,0,3,3,2,2,1,2
"utterly",5,1,6,0,0,0,0,0,1,0,3,1,0,0,0,5,1,2,1,0,0,1
"various",3,0,3,0,5,0,0,3,3,0,1,3,1,2,1,0,2,4,2,2,0,0
"video",10,0,4,0,1,3,1,0,2,0,4,1,9,0,0,4,1,3,4,0,0,0
"violently",1,0,1,2,0,1,1,1,0,0,2,1,1,0,0,3,3,0,1,2,1,0
"visible",3,1,2,2,0,0,1,1,1,0,2,1,2,0,0,1,6,3,1,0,0,2
"waist",6,0,1,10,3,1,1,1,0,1,2,0,0,0,0,0,1,1,1,0,0,0
"waits",1,3,2,3,0,1,4,1,0,0,1,2,0,0,1,3,1,2,0,1,2,6
"wake",1,6,6,1,2,0,2,1,1,4,9,0,0,9,1,0,2,0,0,3,0,0
"warning",5,1,3,0,5,0,0,0,2,1,0,0,1,0,0,0,1,2,0,2,1,1
